U+2236 \colon
U+0284 \texthtbardotlessjvar
U+D647 \bfitsansL
U+2937 \rightdowncurvedarrow
U+20E8 \threeunderdot
U+2061 \functionapply
U+0319 \textretracting
U+D415 \bfV
U+220A \smallin
U+2147 \itBbbe
U+D5A3 \sansD
U+2571 \bdnesw
U+2AA5 \gla
U+D68E \tte
U+02E6 \tonebarhigh
U+D78B \bfsansvartheta
U+263A \smiley
U+301A \lBrack
U+2943 \leftarrowshortrightarrow
U+255B \bduvlH
U+00BB \guillemotright
U+22A7 \models
U+D47A \bfitS
U+29DD \tieinfty
U+26AB \mdblkcircle
U+2A76 \eqeqeq
U+D6A5 \jmath
U+00AE \textregistered
U+030E \textdoublevbaraccent
U+D66E \bfitsansy
U+22D6 \lessdot
U+2927 \tona
U+2683 \diceiv
U+27F9 \Longrightarrow
U+230B \rfloor
U+D5D3 \sansz
U+D713 \itpsi
U+29C6 \boxast
U+D517 \frakT
U+2119 \BbbP
U+D707 \itmu
U+D64B \bfitsansP
U+22BA \intercal
U+2993 \lparenless
U+22FB \varnis
U+2640 \female
U+D54F \BbbX
U+D66D \bfitsansx
U+0359 \textunderasterisk
U+D5DF \bfsansL
U+D661 \bfitsansl
U+D5CA \sansq
U+2665 \varheartsuit
U+D59D \bffrakx
U+25AC \hrectangleblack
U+29C4 \boxdiag
U+2AE9 \vBarv
U+24D9 \circledj
U+D53C \BbbE
U+266A \eighthnote
U+2ABE \supsetdot
U+D58B \bffrakf
U+D7AD \bfitsansdelta
U+22AD \nvDash
U+293C \curvearrowrightminus
U+D563 \Bbbr
U+2A61 \varveebar
U+2AE4 \Dashv
U+D474 \bfitM
U+D6BC \bfUpsilon
U+228B \supsetneq
U+0311 \textroundcap
U+2278 \nlessgtr
U+D741 \bfitmu
U+231D \urcorner
U+D7C0 \bfitsanschi
U+D5B6 \sansW
U+D46B \bfitD
U+2A27 \plussubtwo
U+02B7 \textsupw
U+29B0 \revemptyset
U+2ACD \lsqhook
U+0254 \textopeno
